health_id,account_id,health_score,churn_risk,product_adoption,last_login,nps_score,updated_at
HLT-304,ACC-304,66,low,low,2025-07-08T12:00:00,35,2025-07-09T21:00:00
HLT-305,ACC-305,61,high,low,2025-07-04T14:00:00,3,2025-07-09T22:00:00
HLT-306,ACC-306,91,low,low,2025-07-07T12:00:00,0,2025-07-10T03:00:00
HLT-307,ACC-307,86,low,medium,2025-07-08T17:00:00,-3,2025-07-10T05:00:00
HLT-308,ACC-308,83,low,high,2025-07-07T04:00:00,36,2025-07-10T00:00:00
HLT-309,ACC-309,72,medium,high,2025-07-10T11:00:00,66,2025-07-10T03:00:00
HLT-310,ACC-310,76,low,medium,2025-07-10T06:00:00,32,2025-07-10T00:00:00
HLT-311,ACC-311,77,high,high,2025-07-09T09:00:00,-3,2025-07-10T07:00:00
HLT-312,ACC-312,81,low,medium,2025-07-04T14:00:00,78,2025-07-10T06:00:00
HLT-313,ACC-313,85,high,medium,2025-07-08T04:00:00,84,2025-07-04T14:00:00
HLT-314,ACC-314,56,low,low,2025-07-07T01:00:00,78,2025-07-10T11:00:00
HLT-315,ACC-315,66,low,low,2025-07-05T20:00:00,55,2025-07-10T02:00:00
HLT-316,ACC-316,62,low,medium,2025-07-06T00:00:00,7,2025-07-10T01:00:00
HLT-317,ACC-317,59,medium,high,2025-07-08T16:00:00,9,2025-07-09T20:00:00
HLT-318,ACC-318,70,low,medium,2025-07-10T10:00:00,9,2025-07-10T11:00:00
HLT-320,ACC-320,60,medium,high,2025-07-09T21:00:00,15,2025-07-10T02:00:00
HLT-321,ACC-321,73,low,low,2025-07-08T07:00:00,34,2025-07-10T08:00:00
HLT-322,ACC-322,89,low,high,2025-07-06T11:00:00,24,2025-07-09T21:00:00
HLT-323,ACC-323,94,low,medium,2025-07-04T15:00:00,-10,2025-07-09T21:00:00
HLT-324,ACC-324,63,high,low,2025-07-04T14:00:00,-22,2025-07-10T03:00:00
HLT-325,ACC-325,71,medium,medium,2025-07-05T09:00:00,16,2025-07-10T00:00:00
HLT-326,ACC-326,77,low,low,2025-07-07T11:00:00,28,2025-06-26T14:00:00
HLT-327,ACC-327,75,medium,low,2025-07-05T20:00:00,85,2025-07-10T04:00:00
HLT-328,ACC-328,66,low,high,2025-07-06T20:00:00,0,2025-07-09T22:00:00
HLT-329,ACC-329,83,low,high,2025-07-07T07:00:00,4,2025-07-10T01:00:00
HLT-330,ACC-330,31,high,low,2025-06-20T14:00:00,-11,2025-07-10T09:00:00
HLT-331,ACC-331,57,low,medium,2025-07-06T19:00:00,6,2025-07-10T09:00:00
HLT-332,ACC-332,89,low,medium,2025-07-07T09:00:00,78,2025-07-10T11:00:00
HLT-333,ACC-333,87,low,medium,2025-07-03T16:00:00,83,2025-07-10T00:00:00
HLT-334,ACC-334,61,low,medium,2025-07-05T05:00:00,9,2025-07-10T09:00:00
HLT-335,ACC-335,77,low,high,2025-07-09T21:00:00,46,2025-07-10T06:00:00
HLT-336,ACC-336,94,high,medium,2025-07-07T21:00:00,35,2025-07-09T21:00:00
HLT-337,ACC-337,89,low,medium,2025-07-06T05:00:00,-2,2025-07-10T02:00:00
HLT-338,ACC-338,72,low,high,2025-07-09T21:00:00,55,2025-07-10T00:00:00
HLT-339,ACC-339,89,low,low,2025-07-05T21:00:00,11,2025-07-02T14:00:00
HLT-340,ACC-340,89,low,high,2025-07-07T18:00:00,-1,2025-07-10T10:00:00
HLT-341,ACC-341,60,low,high,2025-07-05T17:00:00,1,2025-07-10T04:00:00
HLT-342,ACC-342,89,medium,high,2025-07-08T05:00:00,66,2025-07-10T03:00:00
HLT-343,ACC-343,50,high,low,2025-07-03T14:00:00,-4,2025-07-10T02:00:00
HLT-344,ACC-344,89,high,high,2025-07-09T20:00:00,12,2025-07-10T03:00:00
HLT-345,ACC-345,44,medium,high,2025-07-09T06:00:00,-3,2025-07-09T23:00:00
HLT-346,ACC-346,77,low,medium,2025-07-07T09:00:00,37,2025-07-10T11:00:00
HLT-347,ACC-347,60,low,low,2025-07-07T07:00:00,32,2025-07-10T09:00:00
HLT-348,ACC-348,84,low,medium,2025-07-09T10:00:00,48,2025-07-10T04:00:00
HLT-349,ACC-349,60,medium,high,2025-07-08T22:00:00,21,2025-07-10T03:00:00
HLT-350,ACC-350,87,low,medium,2025-07-06T17:00:00,85,2025-07-10T02:00:00
HLT-351,ACC-351,81,low,medium,2025-07-07T21:00:00,71,2025-07-10T09:00:00
HLT-352,ACC-352,71,low,medium,2025-07-09T03:00:00,37,2025-07-05T14:00:00
HLT-353,ACC-353,57,medium,medium,2025-07-05T02:00:00,51,2025-07-10T13:00:00
HLT-354,ACC-354,77,low,high,2025-07-10T10:00:00,70,2025-07-10T10:00:00
HLT-355,ACC-355,76,low,medium,2025-07-06T23:00:00,85,2025-07-10T05:00:00
HLT-356,ACC-356,92,low,high,2025-07-07T05:00:00,28,2025-07-10T09:00:00
HLT-357,ACC-357,66,low,medium,2025-07-07T11:00:00,-6,2025-07-10T09:00:00
HLT-358,ACC-358,77,low,high,2025-07-10T06:00:00,2,2025-07-10T04:00:00
HLT-359,ACC-359,62,medium,medium,2025-07-04T23:00:00,-5,2025-07-10T03:00:00
HLT-360,ACC-360,80,low,high,2025-07-08T08:00:00,70,2025-07-09T20:00:00
HLT-361,ACC-361,73,medium,medium,2025-07-08T10:00:00,28,2025-07-10T11:00:00
HLT-362,ACC-362,36,medium,low,2025-07-04T14:00:00,-18,2025-07-10T08:00:00
HLT-363,ACC-363,78,low,low,2025-07-04T16:00:00,10,2025-07-10T00:00:00
HLT-364,ACC-364,90,low,medium,2025-07-07T05:00:00,-10,2025-07-09T20:00:00
HLT-365,ACC-365,57,low,medium,2025-07-09T23:00:00,53,2025-06-28T14:00:00
HLT-366,ACC-366,66,low,low,2025-07-05T18:00:00,60,2025-07-09T20:00:00
HLT-367,ACC-367,78,low,high,2025-07-10T12:00:00,36,2025-07-10T02:00:00
HLT-368,ACC-368,61,low,medium,2025-07-07T18:00:00,-9,2025-07-10T03:00:00
HLT-369,ACC-369,94,low,low,2025-07-06T04:00:00,73,2025-07-10T09:00:00
HLT-370,ACC-370,93,low,medium,2025-07-05T09:00:00,69,2025-07-10T04:00:00
HLT-371,ACC-371,91,low,medium,2025-07-04T04:00:00,6,2025-07-10T05:00:00
HLT-373,ACC-373,92,low,high,2025-07-10T00:00:00,-7,2025-07-10T11:00:00
HLT-374,ACC-374,55,medium,high,2025-07-08T07:00:00,48,2025-07-10T08:00:00
HLT-375,ACC-375,83,medium,high,2025-07-03T15:00:00,9,2025-07-10T02:00:00
HLT-376,ACC-376,81,low,low,2025-07-09T02:00:00,27,2025-07-10T11:00:00
HLT-377,ACC-377,32,high,low,2025-05-30T14:00:00,-45,2025-07-10T08:00:00
HLT-378,ACC-378,88,medium,low,2025-07-04T15:00:00,52,2025-07-09T23:00:00
HLT-379,ACC-379,92,medium,high,2025-07-04T17:00:00,17,2025-07-10T11:00:00
HLT-380,ACC-380,93,high,medium,2025-07-06T04:00:00,59,2025-07-10T13:00:00
HLT-381,ACC-381,64,high,low,2025-07-02T14:00:00,-10,2025-07-10T08:00:00
HLT-382,ACC-382,73,low,medium,2025-07-04T11:00:00,32,2025-07-09T20:00:00
HLT-383,ACC-383,77,medium,low,2025-07-05T01:00:00,-9,2025-07-10T03:00:00
HLT-384,ACC-384,91,low,high,2025-07-04T12:00:00,-5,2025-07-10T07:00:00
HLT-385,ACC-385,91,low,medium,2025-07-09T00:00:00,68,2025-07-09T23:00:00
HLT-386,ACC-386,72,low,high,2025-07-07T14:00:00,76,2025-07-10T11:00:00
HLT-387,ACC-387,80,high,medium,2025-07-09T21:00:00,73,2025-07-10T07:00:00
HLT-388,ACC-388,47,medium,medium,2025-07-08T13:00:00,10,2025-07-10T12:00:00
HLT-389,ACC-389,84,low,low,2025-07-05T00:00:00,0,2025-07-10T00:00:00
HLT-390,ACC-390,58,low,medium,2025-07-07T23:00:00,55,2025-07-09T20:00:00
HLT-391,ACC-391,82,high,high,2025-07-07T17:00:00,13,2025-06-26T14:00:00
HLT-392,ACC-392,91,low,high,2025-07-06T01:00:00,9,2025-07-10T09:00:00
HLT-393,ACC-393,64,medium,low,2025-07-05T00:00:00,84,2025-07-10T10:00:00
HLT-394,ACC-394,78,low,medium,2025-07-06T20:00:00,69,2025-07-10T00:00:00
HLT-395,ACC-395,83,low,high,2025-07-09T04:00:00,58,2025-07-10T06:00:00
HLT-396,ACC-396,72,low,high,2025-07-09T21:00:00,-9,2025-07-10T00:00:00
HLT-397,ACC-397,70,low,high,2025-07-04T22:00:00,6,2025-07-09T21:00:00
HLT-398,ACC-398,59,medium,medium,2025-07-07T12:00:00,16,2025-07-10T00:00:00
HLT-399,ACC-399,76,high,medium,2025-07-10T09:00:00,21,2025-07-10T05:00:00
HLT-400,ACC-400,55,high,low,2025-06-19T14:00:00,11,2025-07-09T22:00:00
HLT-401,ACC-401,75,low,low,2025-07-07T14:00:00,73,2025-07-09T21:00:00
HLT-402,ACC-402,77,low,low,2025-07-03T16:00:00,12,2025-07-10T07:00:00
HLT-403,ACC-403,82,low,low,2025-07-07T11:00:00,82,2025-07-10T12:00:00
HLT-404,ACC-404,91,low,high,2025-07-08T05:00:00,58,2025-07-10T06:00:00
HLT-405,ACC-405,86,low,high,2025-07-07T12:00:00,18,2025-07-10T03:00:00
HLT-406,ACC-406,91,low,medium,2025-07-09T00:00:00,54,2025-07-10T02:00:00
HLT-407,ACC-407,66,low,medium,2025-07-09T16:00:00,52,2025-07-10T12:00:00
HLT-408,ACC-408,82,low,medium,2025-07-07T03:00:00,66,2025-07-10T03:00:00
HLT-409,ACC-409,56,low,high,2025-07-10T09:00:00,10,2025-07-09T23:00:00
HLT-410,ACC-410,85,low,medium,2025-07-06T00:00:00,66,2025-07-09T22:00:00
HLT-411,ACC-411,83,low,medium,2025-07-07T17:00:00,57,2025-07-10T08:00:00
HLT-412,ACC-412,77,high,high,2025-07-04T13:00:00,-9,2025-07-10T05:00:00
HLT-413,ACC-413,73,low,medium,2025-07-03T16:00:00,-2,2025-07-10T12:00:00
HLT-414,ACC-414,71,medium,high,2025-07-05T05:00:00,42,2025-07-09T23:00:00
HLT-415,ACC-415,87,low,high,2025-07-07T20:00:00,21,2025-07-10T01:00:00
HLT-416,ACC-416,92,low,high,2025-07-10T00:00:00,80,2025-07-10T04:00:00
HLT-417,ACC-417,69,low,high,2025-07-07T17:00:00,-8,2025-06-30T14:00:00
HLT-418,ACC-418,76,low,low,2025-07-06T15:00:00,27,2025-07-09T20:00:00
HLT-419,ACC-419,50,medium,low,2025-07-04T14:00:00,3,2025-07-10T09:00:00
HLT-420,ACC-420,77,low,low,2025-07-10T01:00:00,43,2025-07-10T10:00:00
HLT-421,ACC-421,70,low,high,2025-07-05T12:00:00,44,2025-07-10T01:00:00
HLT-422,ACC-422,90,low,high,2025-07-07T07:00:00,10,2025-07-09T22:00:00
HLT-423,ACC-423,91,low,medium,2025-07-10T12:00:00,29,2025-07-10T01:00:00
HLT-424,ACC-424,28,high,low,2025-06-23T14:00:00,-6,2025-07-10T08:00:00
HLT-426,ACC-426,60,low,medium,2025-07-03T22:00:00,19,2025-07-10T03:00:00
HLT-427,ACC-427,76,low,high,2025-07-05T09:00:00,77,2025-07-10T10:00:00
HLT-428,ACC-428,76,low,high,2025-07-03T18:00:00,64,2025-07-10T00:00:00
HLT-429,ACC-429,84,low,high,2025-07-06T06:00:00,-2,2025-07-10T10:00:00
HLT-430,ACC-430,58,high,medium,2025-07-09T15:00:00,76,2025-06-26T14:00:00
HLT-431,ACC-431,56,medium,medium,2025-07-07T06:00:00,17,2025-07-10T10:00:00
HLT-432,ACC-432,75,low,high,2025-07-06T13:00:00,41,2025-07-10T04:00:00
HLT-433,ACC-433,74,medium,low,2025-07-05T17:00:00,11,2025-07-10T10:00:00
HLT-434,ACC-434,81,low,medium,2025-07-08T14:00:00,6,2025-07-10T07:00:00
HLT-435,ACC-435,55,medium,high,2025-07-03T14:00:00,83,2025-07-10T09:00:00
HLT-436,ACC-436,63,low,medium,2025-07-07T08:00:00,60,2025-07-10T09:00:00
HLT-437,ACC-437,74,low,medium,2025-07-05T06:00:00,2,2025-07-10T02:00:00
HLT-438,ACC-438,61,medium,high,2025-07-05T22:00:00,50,2025-07-10T12:00:00
HLT-439,ACC-439,86,low,medium,2025-07-07T22:00:00,5,2025-07-10T13:00:00
HLT-440,ACC-440,80,low,medium,2025-07-08T21:00:00,60,2025-07-10T01:00:00
HLT-441,ACC-441,85,medium,medium,2025-07-05T08:00:00,48,2025-07-10T01:00:00
HLT-442,ACC-442,79,high,high,2025-07-05T13:00:00,82,2025-07-10T08:00:00
HLT-443,ACC-443,66,low,high,2025-07-04T04:00:00,76,2025-07-10T06:00:00
HLT-444,ACC-444,76,low,low,2025-07-09T09:00:00,65,2025-07-10T13:00:00
HLT-445,ACC-445,57,low,medium,2025-07-04T05:00:00,55,2025-07-10T06:00:00
HLT-446,ACC-446,74,medium,high,2025-07-08T05:00:00,77,2025-07-10T08:00:00
HLT-447,ACC-447,80,low,low,2025-07-10T06:00:00,25,2025-07-10T03:00:00
HLT-448,ACC-448,66,low,high,2025-07-05T01:00:00,65,2025-07-10T08:00:00
HLT-449,ACC-449,82,medium,medium,2025-07-04T00:00:00,36,2025-07-10T13:00:00
HLT-450,ACC-450,70,medium,low,2025-07-05T01:00:00,60,2025-07-10T01:00:00
HLT-451,ACC-451,87,medium,medium,2025-07-07T08:00:00,72,2025-07-09T22:00:00
HLT-452,ACC-452,80,low,medium,2025-07-08T07:00:00,41,2025-07-10T08:00:00
HLT-453,ACC-453,68,low,high,2025-07-04T16:00:00,62,2025-07-10T10:00:00
HLT-454,ACC-454,83,medium,high,2025-07-04T06:00:00,2,2025-07-10T11:00:00
HLT-455,ACC-455,80,low,high,2025-07-10T00:00:00,25,2025-07-10T06:00:00
HLT-456,ACC-456,87,low,medium,2025-07-10T10:00:00,26,2025-07-01T14:00:00
HLT-457,ACC-457,41,high,low,2025-06-22T14:00:00,9,2025-07-10T02:00:00
HLT-458,ACC-458,66,medium,high,2025-07-07T21:00:00,76,2025-07-09T22:00:00
HLT-459,ACC-459,92,low,medium,2025-07-05T06:00:00,81,2025-07-10T03:00:00
HLT-460,ACC-460,92,low,low,2025-07-08T10:00:00,27,2025-07-09T20:00:00
HLT-461,ACC-461,58,medium,high,2025-07-07T14:00:00,1,2025-07-09T23:00:00
HLT-462,ACC-462,93,low,medium,2025-07-06T16:00:00,24,2025-07-10T12:00:00
HLT-463,ACC-463,83,low,high,2025-07-07T06:00:00,29,2025-07-09T21:00:00
HLT-464,ACC-464,77,low,low,2025-07-10T03:00:00,30,2025-07-10T10:00:00
HLT-465,ACC-465,69,medium,high,2025-07-04T20:00:00,18,2025-07-09T23:00:00
HLT-466,ACC-466,94,low,medium,2025-07-07T16:00:00,60,2025-07-10T03:00:00
HLT-467,ACC-467,83,low,medium,2025-07-10T09:00:00,50,2025-07-10T02:00:00
HLT-468,ACC-468,55,low,high,2025-07-08T07:00:00,20,2025-07-10T02:00:00
HLT-469,ACC-469,71,low,medium,2025-07-05T00:00:00,78,2025-07-02T14:00:00
HLT-470,ACC-470,81,medium,high,2025-07-07T06:00:00,73,2025-07-10T09:00:00
HLT-471,ACC-471,37,high,low,2025-06-13T14:00:00,-10,2025-07-10T03:00:00
HLT-472,ACC-472,75,low,high,2025-07-06T06:00:00,16,2025-07-10T13:00:00
HLT-473,ACC-473,86,low,medium,2025-07-08T20:00:00,16,2025-07-10T00:00:00
HLT-474,ACC-474,42,medium,medium,2025-07-09T22:00:00,43,2025-07-09T23:00:00
HLT-475,ACC-475,64,low,high,2025-07-09T07:00:00,21,2025-07-10T13:00:00
HLT-476,ACC-476,48,medium,low,2025-06-16T14:00:00,0,2025-07-10T00:00:00
HLT-477,ACC-477,80,low,high,2025-07-09T08:00:00,12,2025-07-10T03:00:00
HLT-479,ACC-479,58,low,medium,2025-07-09T13:00:00,9,2025-07-10T10:00:00
HLT-480,ACC-480,83,medium,medium,2025-07-05T03:00:00,61,2025-07-10T06:00:00
HLT-481,ACC-481,84,low,high,2025-07-08T03:00:00,29,2025-07-09T20:00:00
HLT-482,ACC-482,77,medium,high,2025-07-10T10:00:00,69,2025-07-10T07:00:00
HLT-483,ACC-483,57,low,high,2025-07-07T02:00:00,7,2025-07-10T06:00:00
HLT-484,ACC-484,87,high,low,2025-07-05T01:00:00,17,2025-07-10T03:00:00
HLT-485,ACC-485,88,low,high,2025-07-10T12:00:00,42,2025-07-10T09:00:00
HLT-486,ACC-486,67,medium,high,2025-07-04T12:00:00,33,2025-07-10T05:00:00
HLT-487,ACC-487,69,low,high,2025-07-07T20:00:00,69,2025-07-10T00:00:00
HLT-488,ACC-488,89,low,medium,2025-07-04T04:00:00,52,2025-07-10T11:00:00
HLT-489,ACC-489,66,medium,low,2025-07-04T19:00:00,34,2025-07-10T02:00:00
HLT-490,ACC-490,65,low,low,2025-07-06T17:00:00,6,2025-07-10T00:00:00
HLT-491,ACC-491,83,low,high,2025-07-09T20:00:00,10,2025-07-09T22:00:00
HLT-492,ACC-492,55,low,medium,2025-07-07T18:00:00,-8,2025-07-10T10:00:00
HLT-493,ACC-493,56,medium,medium,2025-07-09T02:00:00,24,2025-07-10T05:00:00
HLT-494,ACC-494,81,low,low,2025-07-06T06:00:00,15,2025-07-10T02:00:00
HLT-495,ACC-495,54,high,low,2025-07-02T14:00:00,2,2025-07-09T22:00:00
HLT-496,ACC-496,61,low,high,2025-07-06T10:00:00,-7,2025-07-10T12:00:00
HLT-497,ACC-497,72,low,medium,2025-07-04T04:00:00,84,2025-07-10T00:00:00
HLT-498,ACC-498,90,low,high,2025-07-08T23:00:00,-5,2025-07-10T01:00:00
HLT-499,ACC-499,57,low,medium,2025-07-03T16:00:00,53,2025-07-10T06:00:00
HLT-500,ACC-500,80,low,high,2025-07-05T17:00:00,51,2025-07-10T04:00:00
HLT-501,ACC-501,87,low,low,2025-07-06T06:00:00,58,2025-07-10T04:00:00
HLT-502,ACC-502,86,low,high,2025-07-06T00:00:00,32,2025-07-10T09:00:00
HLT-503,ACC-503,93,low,high,2025-07-06T04:00:00,18,2025-07-09T23:00:00
HLT-504,ACC-504,92,medium,medium,2025-07-06T02:00:00,13,2025-07-10T00:00:00
HLT-505,ACC-505,66,medium,medium,2025-07-07T22:00:00,76,2025-07-10T04:00:00
HLT-506,ACC-506,59,medium,medium,2025-07-03T18:00:00,29,2025-07-10T01:00:00
HLT-507,ACC-507,71,low,medium,2025-07-10T08:00:00,26,2025-07-10T10:00:00
HLT-508,ACC-508,86,low,medium,2025-07-07T19:00:00,48,2025-07-01T14:00:00
HLT-509,ACC-509,63,medium,low,2025-07-10T01:00:00,49,2025-07-10T03:00:00
HLT-510,ACC-510,89,medium,low,2025-07-09T12:00:00,9,2025-07-10T11:00:00
HLT-511,ACC-511,67,low,low,2025-07-07T02:00:00,58,2025-07-10T12:00:00
HLT-512,ACC-512,73,low,medium,2025-07-10T09:00:00,6,2025-07-10T07:00:00
HLT-513,ACC-513,68,low,medium,2025-07-06T02:00:00,38,2025-07-10T00:00:00
HLT-514,ACC-514,50,medium,low,2025-06-30T14:00:00,14,2025-07-10T08:00:00
HLT-515,ACC-515,73,medium,medium,2025-07-05T03:00:00,76,2025-07-10T06:00:00
HLT-516,ACC-516,92,low,high,2025-07-03T16:00:00,25,2025-07-10T10:00:00
HLT-517,ACC-517,69,medium,high,2025-07-09T17:00:00,-2,2025-07-10T10:00:00
HLT-518,ACC-518,27,high,low,2025-06-06T14:00:00,4,2025-07-10T10:00:00
HLT-519,ACC-519,75,low,medium,2025-07-10T01:00:00,47,2025-07-09T21:00:00
HLT-520,ACC-520,91,medium,high,2025-07-10T09:00:00,33,2025-07-10T10:00:00
HLT-521,ACC-521,62,medium,high,2025-07-04T11:00:00,75,2025-07-04T14:00:00
HLT-522,ACC-522,66,medium,high,2025-07-06T04:00:00,39,2025-07-10T01:00:00
HLT-523,ACC-523,82,low,medium,2025-07-04T11:00:00,3,2025-07-10T07:00:00
HLT-524,ACC-524,74,low,high,2025-07-03T14:00:00,41,2025-07-10T12:00:00
HLT-525,ACC-525,88,low,high,2025-07-08T19:00:00,17,2025-07-10T04:00:00
HLT-526,ACC-526,56,low,medium,2025-07-09T23:00:00,9,2025-07-10T03:00:00
HLT-527,ACC-527,85,low,medium,2025-07-09T22:00:00,56,2025-07-10T06:00:00
HLT-528,ACC-528,58,high,low,2025-07-08T19:00:00,20,2025-07-10T03:00:00
HLT-529,ACC-529,94,medium,high,2025-07-06T08:00:00,36,2025-07-10T08:00:00
HLT-530,ACC-530,75,high,low,2025-07-10T00:00:00,59,2025-07-09T20:00:00
HLT-532,ACC-532,75,low,high,2025-07-08T10:00:00,49,2025-07-10T07:00:00
HLT-533,ACC-533,60,medium,low,2025-07-02T14:00:00,15,2025-07-10T06:00:00
HLT-534,ACC-534,63,low,medium,2025-07-07T20:00:00,64,2025-07-02T14:00:00
HLT-535,ACC-535,79,medium,high,2025-07-04T08:00:00,34,2025-07-10T04:00:00
HLT-536,ACC-536,63,medium,high,2025-07-03T20:00:00,4,2025-07-09T20:00:00
HLT-537,ACC-537,67,low,medium,2025-07-07T21:00:00,56,2025-07-09T22:00:00
HLT-538,ACC-538,72,low,high,2025-07-10T02:00:00,43,2025-07-10T10:00:00
HLT-539,ACC-539,91,medium,medium,2025-07-04T14:00:00,5,2025-07-10T06:00:00
HLT-540,ACC-540,80,low,medium,2025-07-08T16:00:00,42,2025-07-10T10:00:00
HLT-541,ACC-541,94,low,medium,2025-07-09T11:00:00,46,2025-07-10T04:00:00
HLT-542,ACC-542,56,low,low,2025-07-09T10:00:00,39,2025-07-10T03:00:00
HLT-543,ACC-543,81,low,medium,2025-07-09T02:00:00,16,2025-07-10T03:00:00
HLT-544,ACC-544,87,low,medium,2025-07-08T23:00:00,18,2025-07-10T02:00:00
HLT-545,ACC-545,56,low,medium,2025-07-09T22:00:00,10,2025-07-10T11:00:00
HLT-546,ACC-546,87,low,high,2025-07-04T22:00:00,76,2025-07-10T10:00:00
HLT-547,ACC-547,59,high,medium,2025-07-05T23:00:00,53,2025-06-29T14:00:00
HLT-548,ACC-548,87,low,low,2025-07-03T22:00:00,64,2025-07-10T09:00:00
HLT-549,ACC-549,75,low,high,2025-07-04T03:00:00,83,2025-07-09T23:00:00
HLT-550,ACC-550,64,low,low,2025-07-08T03:00:00,13,2025-07-10T09:00:00
HLT-551,ACC-551,61,low,high,2025-07-03T20:00:00,84,2025-07-10T03:00:00
HLT-552,ACC-552,69,medium,medium,2025-07-04T14:00:00,82,2025-07-10T08:00:00
HLT-553,ACC-553,55,low,medium,2025-07-09T03:00:00,76,2025-07-10T04:00:00
HLT-554,ACC-554,86,low,high,2025-07-04T04:00:00,58,2025-07-09T23:00:00
HLT-555,ACC-555,74,low,high,2025-07-07T06:00:00,41,2025-07-10T06:00:00
HLT-556,ACC-556,93,medium,medium,2025-07-10T06:00:00,50,2025-07-10T12:00:00
HLT-557,ACC-557,68,medium,low,2025-07-10T11:00:00,28,2025-07-10T05:00:00
HLT-558,ACC-558,59,low,low,2025-07-04T20:00:00,79,2025-07-10T10:00:00
HLT-559,ACC-559,66,medium,medium,2025-07-09T15:00:00,5,2025-07-10T01:00:00
HLT-560,ACC-560,51,medium,high,2025-07-07T03:00:00,44,2025-07-10T00:00:00
HLT-561,ACC-561,62,low,high,2025-07-08T09:00:00,64,2025-07-10T05:00:00
HLT-562,ACC-562,91,low,low,2025-07-07T13:00:00,60,2025-07-10T02:00:00
HLT-563,ACC-563,69,low,medium,2025-07-10T03:00:00,83,2025-07-10T02:00:00
HLT-564,ACC-564,86,low,low,2025-07-03T16:00:00,54,2025-07-10T11:00:00
HLT-565,ACC-565,38,high,low,2025-06-19T14:00:00,-11,2025-07-10T13:00:00
HLT-566,ACC-566,74,medium,medium,2025-07-07T23:00:00,70,2025-07-10T02:00:00
HLT-567,ACC-567,88,high,medium,2025-07-06T02:00:00,74,2025-07-10T11:00:00
HLT-568,ACC-568,87,medium,high,2025-07-03T14:00:00,50,2025-07-10T02:00:00
HLT-569,ACC-569,63,medium,medium,2025-07-06T05:00:00,25,2025-07-09T22:00:00
HLT-570,ACC-570,72,low,medium,2025-07-03T22:00:00,29,2025-07-10T01:00:00
HLT-571,ACC-571,45,high,low,2025-06-19T14:00:00,-13,2025-07-10T03:00:00
HLT-572,ACC-572,88,medium,low,2025-07-06T12:00:00,10,2025-07-10T03:00:00
HLT-573,ACC-573,93,medium,high,2025-07-07T11:00:00,58,2025-06-26T14:00:00
HLT-574,ACC-574,58,low,low,2025-07-06T14:00:00,73,2025-07-10T02:00:00
HLT-575,ACC-575,88,low,medium,2025-07-06T16:00:00,57,2025-07-10T10:00:00
HLT-576,ACC-576,82,low,medium,2025-07-06T07:00:00,7,2025-07-10T11:00:00
HLT-577,ACC-577,91,medium,medium,2025-07-10T03:00:00,84,2025-07-10T03:00:00
HLT-578,ACC-578,82,medium,high,2025-07-06T21:00:00,62,2025-07-10T13:00:00
HLT-579,ACC-579,57,low,low,2025-07-09T02:00:00,27,2025-07-09T21:00:00
HLT-580,ACC-580,75,low,medium,2025-07-03T19:00:00,-10,2025-07-10T01:00:00
HLT-581,ACC-581,75,low,high,2025-07-07T02:00:00,39,2025-07-10T12:00:00
HLT-582,ACC-582,75,low,low,2025-07-06T09:00:00,71,2025-07-09T20:00:00
HLT-583,ACC-583,75,low,medium,2025-07-07T15:00:00,85,2025-07-10T08:00:00
HLT-585,ACC-585,88,low,low,2025-07-06T09:00:00,24,2025-07-10T04:00:00
HLT-586,ACC-586,61,low,high,2025-07-03T22:00:00,84,2025-06-30T14:00:00
HLT-587,ACC-587,63,low,low,2025-07-07T16:00:00,33,2025-07-10T05:00:00
HLT-588,ACC-588,84,medium,low,2025-07-09T16:00:00,56,2025-07-10T13:00:00
HLT-589,ACC-589,65,low,medium,2025-07-07T04:00:00,72,2025-07-10T08:00:00
HLT-590,ACC-590,79,low,medium,2025-07-10T11:00:00,19,2025-07-10T01:00:00
HLT-591,ACC-591,76,low,medium,2025-07-09T19:00:00,82,2025-07-10T11:00:00
HLT-592,ACC-592,61,low,high,2025-07-08T13:00:00,61,2025-07-09T20:00:00
HLT-593,ACC-593,85,low,high,2025-07-07T10:00:00,16,2025-07-10T07:00:00
HLT-594,ACC-594,84,low,medium,2025-07-06T12:00:00,41,2025-07-10T07:00:00
HLT-595,ACC-595,78,medium,low,2025-07-05T16:00:00,45,2025-07-09T20:00:00
HLT-596,ACC-596,69,medium,low,2025-07-07T22:00:00,3,2025-07-10T03:00:00
HLT-597,ACC-597,74,low,low,2025-07-04T00:00:00,-1,2025-07-10T01:00:00
HLT-598,ACC-598,76,high,high,2025-07-08T07:00:00,37,2025-07-10T04:00:00
HLT-599,ACC-599,79,low,medium,2025-07-08T09:00:00,49,2025-07-10T08:00:00
HLT-600,ACC-600,69,low,medium,2025-07-08T18:00:00,82,2025-07-10T06:00:00
HLT-601,ACC-601,92,low,high,2025-07-07T04:00:00,66,2025-07-10T09:00:00
HLT-602,ACC-602,62,low,medium,2025-07-05T09:00:00,76,2025-07-09T22:00:00
HLT-603,ACC-603,53,high,medium,2025-07-09T21:00:00,-7,2025-07-10T06:00:00
HLT-604,ACC-604,67,medium,medium,2025-07-08T17:00:00,59,2025-07-10T09:00:00
HLT-605,ACC-605,74,low,medium,2025-07-09T10:00:00,-3,2025-07-10T09:00:00
HLT-606,ACC-606,75,low,high,2025-07-03T19:00:00,76,2025-07-10T12:00:00
HLT-607,ACC-607,62,medium,low,2025-07-09T20:00:00,-3,2025-07-10T01:00:00
